seed,tau,shrink,n_train_id,n_test_id,n_test_ood,id_acc,evidence_ood_auroc,evidence_ood_fpr@tpr80,evidence_ood_fpr@tpr90,evidence_ood_fpr@tpr95,maha_min_auroc,maha_min_fpr@tpr80,maha_min_fpr@tpr90,maha_min_fpr@tpr95,fusion_geo_auroc,fusion_geo_fpr@tpr80,fusion_geo_fpr@tpr90,fusion_geo_fpr@tpr95
2,20.0,0.1,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.69140625,0.546875,0.671875,0.84375,0.9772135416666666,0.078125,0.078125,0.09375
3,2.0,0.001,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.83203125,0.3125,0.40625,0.734375,0.8658854166666667,0.25,0.328125,0.46875
3,5.0,0.001,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.83203125,0.3125,0.40625,0.734375,0.875,0.265625,0.34375,0.40625
3,10.0,0.001,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.83203125,0.3125,0.40625,0.734375,0.8873697916666667,0.234375,0.3125,0.375
3,20.0,0.001,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.83203125,0.3125,0.40625,0.734375,0.8912760416666667,0.265625,0.359375,0.375
3,2.0,0.01,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.8092447916666666,0.40625,0.5,0.71875,0.8704427083333333,0.265625,0.34375,0.46875
3,5.0,0.01,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.8092447916666666,0.40625,0.5,0.71875,0.8815104166666667,0.234375,0.40625,0.40625
3,10.0,0.01,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.8092447916666666,0.40625,0.5,0.71875,0.890625,0.234375,0.328125,0.375
3,20.0,0.01,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.8092447916666666,0.40625,0.5,0.71875,0.8880208333333334,0.296875,0.390625,0.390625
3,2.0,0.05,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.763671875,0.578125,0.578125,0.734375,0.8821614583333334,0.21875,0.390625,0.390625
3,5.0,0.05,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.763671875,0.578125,0.578125,0.734375,0.8912760416666666,0.265625,0.328125,0.375
3,10.0,0.05,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.763671875,0.578125,0.578125,0.734375,0.8899739583333334,0.265625,0.34375,0.34375
